@RELATION music_speech
@ATTRIBUTE RMS_MEAN NUMERIC
@ATTRIBUTE PAR_MEAN NUMERIC
@ATTRIBUTE ZCR_MEAN NUMERIC
@ATTRIBUTE MAD_MEAN NUMERIC
@ATTRIBUTE MEAN_AD_MEAN NUMERIC
@ATTRIBUTE RMS_STD NUMERIC
@ATTRIBUTE PAR_STD NUMERIC
@ATTRIBUTE ZCR_STD NUMERIC
@ATTRIBUTE MAD_STD NUMERIC
@ATTRIBUTE MEAN_AD_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.079834,2.897449,0.092437,0.057098,0.064476,0.035747,0.362824,0.034484,0.029436,0.030505,music
0.187108,2.850597,0.132638,0.138212,0.153853,0.058433,0.489145,0.053882,0.044886,0.047926,music
0.088784,3.089335,0.115076,0.058558,0.070092,0.041234,0.601739,0.079076,0.029719,0.033752,music
0.038562,2.494019,0.030199,0.027071,0.030064,0.016012,0.371898,0.007784,0.014792,0.014635,music
0.090733,2.929228,0.093867,0.061891,0.072603,0.019833,0.402559,0.051205,0.015146,0.016412,music
0.070146,3.029812,0.113335,0.050499,0.057046,0.039975,0.633063,0.072355,0.033989,0.034422,music
0.044617,2.992951,0.097470,0.029930,0.034687,0.010620,0.460874,0.040088,0.009120,0.009416,music
0.055329,3.428674,0.083309,0.034080,0.041985,0.019290,0.735065,0.033664,0.014110,0.016146,music
0.106636,3.252719,0.215092,0.072927,0.085524,0.019513,0.334595,0.019650,0.014150,0.015880,music
0.072957,2.989174,0.088107,0.048832,0.057718,0.033107,0.338376,0.024848,0.021902,0.026541,music
0.092418,2.961935,0.092636,0.065653,0.075025,0.031137,0.381625,0.028160,0.024589,0.026100,music
0.123358,3.177251,0.162106,0.082706,0.098602,0.071838,0.570305,0.029617,0.049701,0.058361,music
0.021790,2.912316,0.065838,0.012222,0.014524,0.006850,0.369213,0.023216,0.005335,0.006296,music
0.059659,2.795882,0.081162,0.041085,0.047241,0.025729,0.391216,0.066420,0.019915,0.022158,music
0.140262,2.692681,0.063971,0.099637,0.114196,0.078146,0.432259,0.043320,0.060159,0.065541,music
0.127979,2.777696,0.064931,0.086361,0.103282,0.066189,0.383990,0.036170,0.047998,0.054754,music
0.040073,3.068854,0.079864,0.025802,0.030622,0.011535,0.429773,0.031841,0.008530,0.009728,music
0.045005,2.651832,0.043164,0.026430,0.033142,0.032526,0.727888,0.025393,0.023533,0.027921,music
0.084420,3.075589,0.059280,0.054989,0.066108,0.035672,0.483598,0.021086,0.024321,0.028527,music
0.156797,2.741648,0.079956,0.111512,0.127580,0.040478,0.391231,0.050719,0.030828,0.032930,music
0.119555,3.329026,0.107071,0.077142,0.093847,0.039285,0.513250,0.032511,0.026772,0.031372,music
0.089580,2.894817,0.072681,0.062064,0.071847,0.049489,0.394605,0.024761,0.036712,0.041125,music
0.090585,2.812153,0.081798,0.058459,0.071259,0.058378,0.471761,0.051958,0.038422,0.046537,music
0.110340,2.987209,0.071194,0.073077,0.087634,0.030562,0.389211,0.027155,0.023934,0.025556,music
0.081177,3.245355,0.137273,0.053749,0.064006,0.030629,0.426799,0.061717,0.022273,0.025092,music
0.088932,3.297494,0.123555,0.057956,0.069670,0.025727,0.572950,0.044744,0.016916,0.020021,music
0.055717,2.889405,0.093987,0.038151,0.044121,0.009958,0.311572,0.042003,0.008041,0.008519,music
0.061909,3.116036,0.150552,0.041710,0.048773,0.010098,0.289505,0.026526,0.007525,0.008433,music
0.077556,2.789444,0.060260,0.052508,0.061922,0.034445,0.427603,0.028429,0.023739,0.027837,music
0.077980,3.034778,0.088017,0.051428,0.061425,0.027431,0.469387,0.036141,0.017908,0.021398,music
0.091886,3.143278,0.095904,0.061806,0.073004,0.019694,0.492271,0.026827,0.013157,0.015454,music
0.083275,3.068515,0.098018,0.056101,0.066041,0.035334,0.484706,0.074547,0.025726,0.029138,music
0.074757,2.854642,0.083413,0.052617,0.060270,0.028287,0.357842,0.022338,0.023167,0.024543,music
0.066423,2.954516,0.072570,0.044338,0.052089,0.042985,0.396218,0.028155,0.029532,0.034889,music
0.026803,2.446014,0.043242,0.012845,0.016736,0.017176,0.911063,0.081933,0.012301,0.015942,speech
0.047531,3.159240,0.073270,0.027152,0.034738,0.029838,0.839218,0.064000,0.019994,0.025087,speech
0.061423,3.296083,0.095145,0.037415,0.046506,0.033804,1.069922,0.088713,0.023039,0.026696,speech
0.025459,3.805080,0.152875,0.014657,0.019147,0.029227,1.096574,0.083192,0.017908,0.022407,speech
0.042081,3.558897,0.129915,0.023529,0.031254,0.047186,1.090389,0.106987,0.026067,0.035272,speech
0.022662,2.913379,0.081779,0.015427,0.018116,0.014031,0.815497,0.062941,0.011081,0.011936,speech
0.070566,2.970135,0.086438,0.044710,0.054078,0.050519,0.980728,0.062312,0.038656,0.043036,speech
0.069571,3.338036,0.083040,0.041659,0.052851,0.054296,0.923243,0.085931,0.032770,0.041776,speech
0.084215,3.727429,0.166707,0.051641,0.065156,0.126985,1.238416,0.109276,0.083451,0.101216,speech
0.080246,3.712107,0.154724,0.050922,0.062510,0.077013,1.072708,0.069157,0.051522,0.060998,speech
0.074620,3.730812,0.163601,0.044890,0.056966,0.065442,0.886286,0.061994,0.042556,0.050826,speech
0.017024,3.454926,0.150908,0.010556,0.013203,0.021965,0.780460,0.080209,0.012537,0.016640,speech
0.049224,3.635650,0.175852,0.030590,0.038259,0.046878,0.955288,0.139206,0.031538,0.037233,speech
0.034538,3.647327,0.151875,0.021324,0.026823,0.041813,1.024924,0.102905,0.028314,0.033343,speech
0.045427,2.593656,0.080565,0.030204,0.034726,0.021656,0.709375,0.079307,0.019318,0.020535,speech
0.099355,2.906036,0.114949,0.068630,0.079909,0.061411,0.880697,0.101780,0.048688,0.053024,speech
0.081313,2.772160,0.108582,0.054889,0.064708,0.037898,0.786768,0.097989,0.030409,0.032980,speech
0.021183,2.876449,0.114340,0.014219,0.016941,0.011959,0.914371,0.133488,0.009623,0.010381,speech
0.029804,3.843714,0.167031,0.017504,0.022590,0.038004,0.932790,0.083043,0.023779,0.029474,speech
0.012836,3.885950,0.156486,0.007314,0.009515,0.013023,1.217074,0.063798,0.006820,0.009329,speech
0.055782,2.895101,0.070601,0.035226,0.042618,0.033347,0.725752,0.040234,0.026350,0.028898,speech
0.026319,3.512988,0.085235,0.013863,0.019177,0.023521,1.224173,0.105902,0.014199,0.018256,speech
0.045466,2.738769,0.058309,0.025539,0.032633,0.033750,0.931085,0.096264,0.026065,0.029923,speech
0.044443,2.807291,0.106877,0.031427,0.036161,0.025379,0.848725,0.109525,0.020643,0.021800,speech
0.011834,2.756485,0.096645,0.008002,0.009281,0.006167,0.900937,0.094893,0.005287,0.005580,speech
0.047681,3.469231,0.102159,0.027375,0.035577,0.042765,1.114346,0.086568,0.022837,0.031079,speech
0.044192,3.053402,0.062344,0.026053,0.032580,0.027306,0.708489,0.065847,0.020814,0.024093,speech
0.039464,4.155705,0.153334,0.020118,0.028834,0.034996,1.171708,0.119619,0.018026,0.025896,speech
0.039823,2.905374,0.055300,0.024948,0.030762,0.021938,0.770377,0.045148,0.015037,0.017573,speech
0.026752,3.946443,0.122329,0.015178,0.019900,0.023103,1.046111,0.068971,0.013660,0.017395,speech
0.044593,2.836141,0.086662,0.028025,0.033545,0.022884,0.822698,0.064690,0.019222,0.020785,speech
0.031797,2.826260,0.047707,0.016704,0.021532,0.014543,0.743703,0.082188,0.010941,0.013152,speech
0.035114,3.988694,0.136636,0.018955,0.025759,0.032438,1.096416,0.089121,0.017747,0.023970,speech
0.031101,2.885689,0.123890,0.021396,0.025036,0.017874,0.920280,0.117955,0.014215,0.015191,speech
0.077904,3.671730,0.185417,0.047793,0.060349,0.089746,1.177638,0.157856,0.062346,0.072265,speech
0.074868,3.321862,0.066883,0.042355,0.055259,0.054952,1.140497,0.091072,0.039331,0.046043,speech
0.022436,3.845977,0.153038,0.012271,0.016691,0.024649,1.095142,0.087865,0.013129,0.018200,speech
0.042610,3.973866,0.149256,0.023720,0.031532,0.034995,1.073768,0.106168,0.021165,0.026902,speech
0.084556,3.020234,0.130711,0.055550,0.066910,0.036792,0.860367,0.105682,0.029551,0.031860,speech
0.032378,2.963765,0.118450,0.022375,0.026223,0.015780,0.926334,0.094963,0.012753,0.013550,speech
0.095764,2.947366,0.100087,0.064206,0.076846,0.052509,0.796484,0.073671,0.039905,0.043827,speech
0.020340,2.860238,0.092037,0.013797,0.016291,0.012158,0.918079,0.091472,0.009678,0.010447,speech
0.039263,2.233003,0.017393,0.022963,0.028021,0.046287,0.740845,0.029669,0.035316,0.040901,speech
0.078392,3.050321,0.078759,0.051121,0.061034,0.045881,0.881301,0.037632,0.036085,0.039293,speech
0.039451,3.756954,0.162726,0.023937,0.030136,0.037659,0.902941,0.049639,0.024604,0.029499,speech
0.038497,3.344381,0.149046,0.025388,0.030427,0.042318,0.667143,0.059136,0.030000,0.034189,speech
0.034998,3.423126,0.140122,0.022254,0.026867,0.021134,0.650489,0.049328,0.014084,0.016365,speech
0.062831,2.924689,0.093859,0.041219,0.049019,0.028452,0.776394,0.068494,0.023933,0.025215,speech
0.049515,3.529296,0.145164,0.031697,0.038891,0.043148,0.998789,0.120994,0.031602,0.035341,speech
0.034274,3.679890,0.136444,0.020967,0.026314,0.029000,1.003241,0.110755,0.020731,0.023647,speech
0.015930,2.820762,0.100359,0.010936,0.012719,0.008094,0.909216,0.105517,0.006811,0.007160,speech
0.063055,2.816086,0.088574,0.042021,0.049579,0.032285,0.726300,0.082047,0.025229,0.028062,speech
0.069927,2.978181,0.078350,0.045142,0.054225,0.038487,0.817338,0.057249,0.030553,0.033250,speech
0.044122,2.707081,0.105783,0.028893,0.033737,0.021015,0.722592,0.095903,0.018221,0.019508,speech
0.059328,2.898900,0.072483,0.038215,0.045949,0.030834,0.869559,0.046427,0.025248,0.027306,speech
0.149179,2.863776,0.105753,0.101819,0.119742,0.074057,0.695919,0.084411,0.057100,0.062420,speech
0.059980,2.778080,0.095146,0.040782,0.047056,0.032407,0.823366,0.090796,0.027612,0.029260,speech
0.067718,4.291615,0.139487,0.038269,0.050358,0.063087,1.202865,0.111894,0.038511,0.048298,speech
0.075311,2.860281,0.072876,0.044467,0.056813,0.051924,0.889092,0.117964,0.039338,0.044871,speech
0.073232,2.872405,0.080005,0.048982,0.057436,0.046367,0.849580,0.053626,0.038084,0.040396,speech
0.049070,2.924320,0.066308,0.030290,0.036963,0.027664,0.889534,0.038468,0.021867,0.024397,speech
0.075018,2.974607,0.087611,0.049778,0.059089,0.044156,0.790497,0.046119,0.034860,0.037929,speech
0.044333,2.922331,0.086362,0.025954,0.032449,0.026474,0.728739,0.119679,0.020756,0.023297,speech
0.062831,2.822102,0.082504,0.042271,0.049270,0.032323,0.799688,0.070962,0.027540,0.029103,speech
