@RELATION music_speech
@ATTRIBUTE SC_MEAN NUMERIC
@ATTRIBUTE SRO_MEAN NUMERIC
@ATTRIBUTE SFM_MEAN NUMERIC
@ATTRIBUTE PARFFT_MEAN NUMERIC
@ATTRIBUTE FLUX_MEAN NUMERIC
@ATTRIBUTE SC_STD NUMERIC
@ATTRIBUTE SRO_STD NUMERIC
@ATTRIBUTE SFM_STD NUMERIC
@ATTRIBUTE PARFFT_STD NUMERIC
@ATTRIBUTE FLUX_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
114.444259,213.810853,0.320264,12.884320,27.495919,67.329243,106.011159,0.165921,3.955706,23.933781,speech
132.323831,271.182171,0.484364,8.855977,42.776623,40.062083,87.467124,0.166288,2.514193,71.073390,speech
133.313698,293.448837,0.526883,8.399522,18.627115,31.477277,68.013240,0.123085,2.510775,21.086576,speech
65.999901,123.182171,0.163510,12.948035,59.323999,17.876572,38.810613,0.073253,3.228395,58.730228,speech
92.810970,184.355814,0.278726,12.623451,28.694936,57.017533,109.609998,0.180102,4.171238,34.053556,speech
80.858406,153.529457,0.253683,14.438527,40.829235,62.070889,114.075520,0.171790,4.411462,46.999662,speech
106.458269,203.688372,0.314208,12.224157,56.531158,55.534691,91.766534,0.163787,3.834777,46.033699,speech
106.336080,210.948837,0.324587,13.436558,15.667127,50.199429,81.825796,0.152299,4.056842,13.332418,speech
106.551218,221.534884,0.365738,12.069895,57.304396,44.199971,93.772275,0.160023,3.405496,74.732045,speech
92.902782,195.496124,0.327146,13.425179,44.487110,37.075008,76.119839,0.130842,4.087483,47.861579,speech
123.200352,241.172868,0.412522,9.471720,51.751848,52.268521,93.331826,0.167209,2.998899,52.757579,speech
89.587074,211.722481,0.343663,13.784864,35.008196,31.095174,76.060679,0.112044,2.871301,30.825545,speech
115.062159,248.971318,0.427806,9.782043,30.138855,34.879052,82.953139,0.144036,2.691256,33.210354,speech
78.180923,145.616279,0.200345,13.149129,55.298045,32.233513,59.243847,0.122581,4.039873,46.779045,speech
62.222060,116.582946,0.196757,13.480526,23.733061,51.370945,93.854653,0.135634,3.794620,26.729492,speech
121.856542,253.913953,0.430217,9.743370,45.933228,43.212681,87.930229,0.162141,2.734851,51.065464,speech
117.779004,224.991473,0.336263,11.881855,42.290734,57.359919,89.332802,0.160362,3.552792,36.013980,speech
139.224497,259.957364,0.408261,9.517908,106.613377,70.726125,101.338448,0.175725,3.605955,151.879783,speech
78.990917,155.389922,0.247241,12.701597,75.776550,51.943386,92.452665,0.161378,4.355118,82.263918,speech
131.485096,281.837984,0.482911,8.872820,27.763172,38.829143,71.959685,0.141872,2.289434,34.555565,speech
123.623287,246.692248,0.409864,10.224241,57.291581,48.838406,80.711674,0.164347,2.965019,59.324996,speech
115.387322,220.251163,0.377957,11.301873,121.547838,51.410863,81.305847,0.156867,3.077202,80.434675,speech
101.058143,180.749612,0.281635,11.412593,41.702898,45.702525,76.356600,0.152637,3.494511,32.274025,speech
96.731484,187.307752,0.260384,11.594646,123.862025,40.746219,73.631193,0.138482,3.120472,103.360758,speech
85.795348,162.006977,0.223467,12.353394,24.606945,46.782451,78.137828,0.139383,3.407562,23.177945,speech
41.320475,73.775194,0.145161,17.047608,19.730854,28.042326,65.693078,0.088521,3.518143,33.843698,speech
66.995764,122.586047,0.150041,11.616629,97.257509,14.503535,27.236133,0.066061,3.382313,86.914858,speech
114.255154,203.122481,0.380701,7.950282,54.607945,21.777804,50.350651,0.113448,2.839199,55.409702,speech
112.890691,212.287597,0.389215,9.095740,43.790511,25.310899,57.193188,0.124133,3.467480,46.497202,speech
105.823471,186.465116,0.341495,9.851414,48.852263,17.601411,34.713746,0.090002,3.333370,51.287668,speech
84.332340,157.701550,0.213879,12.207957,75.405987,35.602269,61.750047,0.132017,3.531387,62.016312,speech
121.827078,237.416279,0.385681,10.702216,58.738752,51.482602,75.916302,0.154288,3.476124,58.901461,speech
125.558180,259.189147,0.413334,10.917148,45.777205,49.116188,72.195363,0.131235,3.319565,51.817694,speech
103.221345,200.311628,0.316726,12.666812,19.922986,53.803370,91.596574,0.162214,3.690054,15.861633,speech
87.006090,167.671318,0.245240,12.712868,72.338817,45.289528,76.329826,0.145541,3.224086,65.107235,speech
73.982096,134.192248,0.192649,12.197164,84.405761,32.601530,59.919975,0.114900,3.463199,74.106582,speech
101.935224,193.788372,0.292211,13.397707,56.562295,48.881269,80.464703,0.140049,3.900537,47.663700,speech
67.175734,120.766667,0.154925,12.398158,67.221614,20.807107,37.782269,0.079772,3.713463,60.345651,speech
81.198593,143.771318,0.179875,11.350583,165.094830,41.555171,63.427707,0.111897,2.829428,130.913680,speech
89.657800,169.854264,0.236496,13.045173,71.616350,42.781691,70.323883,0.136308,4.193037,58.466094,speech
116.086646,227.897674,0.365108,10.181933,79.330166,53.579256,97.108724,0.196259,3.155820,85.789721,speech
81.129842,149.518605,0.251243,13.189865,62.138860,64.406973,117.285262,0.180907,4.237292,66.426883,speech
74.894326,143.027907,0.190587,13.412810,80.809684,24.958799,47.710586,0.106494,3.297707,77.937563,speech
63.644134,117.271318,0.140673,13.383990,54.560895,13.737152,21.781740,0.051660,3.702676,52.968601,speech
77.629200,142.565116,0.200509,12.444686,80.323729,23.508112,49.023243,0.105725,2.955144,73.218519,speech
87.923904,167.241085,0.270169,12.952944,49.049219,65.486183,111.688708,0.171313,3.881570,48.382506,speech
78.481380,145.886047,0.198849,13.112994,73.083275,39.388633,66.942115,0.133545,3.576990,64.046635,speech
